endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
kling-v2-ai-avatar-standard/image-audio-to-video,Kling V2 Std 数字人口播视频,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.36,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2-ai-avatar-pro/image-audio-to-video,Kling V2 Pro 数字人口播视频,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.72,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
image-enhance/hypir-balance,HYPIR-BALANCE,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":1.0,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.0/text-to-world,marble-1.0 文生3D世界,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":10.62,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble/upload-media-asset,Marble 上传媒体资源,string,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":9999.0,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.0/image-to-world,marble-1.0 单图生3D世界,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""isPano""],""rules"":[{""when"":{""isPano"":""false""},""price"":10.62},{""when"":{""isPano"":""true""},""price"":10.08}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.0/multi-image-to-world,marble-1.0 多图生3D世界,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":10.75,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.0/video-to-world,marble-1.0 视频生3D世界,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":10.75,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1/video-to-world,marble-1.1 视频生3D世界,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":10.75,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
marble-1.1-plus/video-to-world,marble-1.1-plus 视频生3D世界,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":20.83,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
