endpoint,sku_id,name,category,output_type,resolutions,explicit_2k,classification,presence,upstream_updated_at,retrieved_at,source_url
minimax/hailuo-02/i2v-pro,2012004604507910145,海螺-02-图生视频-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:02:16,2026-09-21T07:31:55.186159+00:00,https://www.runninghub.cn/call-api/api-detail/2012004604507910145
minimax/hailuo-02/i2v-standard,2011737289136599042,海螺-02-图生视频-标准,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:05:48,2026-09-21T07:31:53.128572+00:00,https://www.runninghub.cn/call-api/api-detail/2011737289136599042
minimax/hailuo-02/pro,2012030193839173634,海螺-02-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:01:40,2026-09-21T07:31:56.985717+00:00,https://www.runninghub.cn/call-api/api-detail/2012030193839173634
minimax/hailuo-02/standard,2012029710558883841,海螺-02-标准,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:01:53,2026-09-21T07:31:55.742717+00:00,https://www.runninghub.cn/call-api/api-detail/2012029710558883841
minimax/hailuo-02/t2v-pro,2012013242253373441,海螺-02-文生视频-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:02:05,2026-09-21T07:31:55.608638+00:00,https://www.runninghub.cn/call-api/api-detail/2012013242253373441
minimax/hailuo-02/t2v-standard,2011735493609582593,海螺-02-文生视频-标准,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:06:10,2026-09-21T07:31:52.048185+00:00,https://www.runninghub.cn/call-api/api-detail/2011735493609582593
minimax/hailuo-2.3-fast-pro/image-to-video,2011749656515899394,海螺-2.3-fast-pro-图生视频,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:05:12,2026-09-21T07:31:53.398981+00:00,https://www.runninghub.cn/call-api/api-detail/2011749656515899394
minimax/hailuo-2.3-fast/image-to-video,2011738168711507969,海螺-2.3-fast-图生视频,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:05:26,2026-09-21T07:31:53.001600+00:00,https://www.runninghub.cn/call-api/api-detail/2011738168711507969
minimax/hailuo-2.3/i2v-standard,2011737762002432002,海螺-2.3-图生视频-标准,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:05:37,2026-09-21T07:31:52.829122+00:00,https://www.runninghub.cn/call-api/api-detail/2011737762002432002
minimax/hailuo-2.3/image-to-video-pro,2011758831593648131,海螺-2.3-图生视频-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:05:01,2026-09-21T07:31:54.022933+00:00,https://www.runninghub.cn/call-api/api-detail/2011758831593648131
